Empleado1,Empleado2,similarity
Empleado10537,Empleado8598,1.0
Empleado10538,Empleado4191,1.0
Empleado10539,Empleado14814,1.0
Empleado1054,Empleado12645,1.0
Empleado10540,Empleado3234,1.0
Empleado10541,Empleado11934,1.0
Empleado10542,Empleado10428,1.0
Empleado10543,Empleado9633,1.0
Empleado10544,Empleado5864,1.0
Empleado10545,Empleado11940,1.0
Empleado10546,Empleado7883,1.0
Empleado10547,Empleado6551,1.0
Empleado10548,Empleado8680,1.0
Empleado10549,Empleado8121,1.0
Empleado1055,Empleado14572,1.0
Empleado10550,Empleado8308,1.0
Empleado10551,Empleado6345,1.0
Empleado10552,Empleado3736,1.0
Empleado10553,Empleado11238,1.0
Empleado10554,Empleado4736,1.0
Empleado10555,Empleado11797,1.0
Empleado10556,Empleado9009,1.0
Empleado10557,Empleado7139,1.0
Empleado10558,Empleado12163,1.0
Empleado10559,Empleado9788,1.0
Empleado1056,Empleado839,1.0
Empleado10560,Empleado3949,1.0
Empleado10561,Empleado3195,1.0
Empleado10562,Empleado8414,1.0
Empleado10563,Empleado10298,1.0
Empleado10564,Empleado1198,1.0
Empleado10565,Empleado13598,1.0
Empleado10566,Empleado643,1.0
Empleado10567,Empleado895,1.0
Empleado10568,Empleado2452,1.0
Empleado10569,Empleado6221,1.0
Empleado1057,Empleado14828,1.0
Empleado10570,Empleado8215,1.0
Empleado10571,Empleado6303,1.0
Empleado10572,Empleado712,1.0
Empleado10573,Empleado2951,1.0
Empleado10574,Empleado13166,1.0
Empleado10575,Empleado1908,1.0
Empleado10576,Empleado10813,1.0
Empleado10577,Empleado8828,1.0
Empleado10578,Empleado10290,1.0
Empleado10579,Empleado11419,1.0
Empleado1058,Empleado1519,1.0
Empleado10580,Empleado3688,1.0
Empleado10581,Empleado5406,1.0
Empleado10582,Empleado11969,1.0
Empleado10583,Empleado13147,1.0
Empleado10584,Empleado11994,1.0
Empleado10585,Empleado1623,1.0
Empleado10586,Empleado10580,1.0
Empleado10587,Empleado2336,1.0
Empleado10588,Empleado12069,1.0
Empleado10589,Empleado574,1.0
Empleado1059,Empleado12092,1.0
Empleado10590,Empleado10340,1.0
Empleado10591,Empleado6587,1.0
Empleado10592,Empleado2234,1.0
Empleado10593,Empleado7558,1.0
Empleado10594,Empleado2109,1.0
Empleado10595,Empleado4126,1.0
Empleado10596,Empleado11321,1.0
Empleado10597,Empleado7548,1.0
Empleado10598,Empleado3973,1.0
Empleado10599,Empleado2571,1.0
Empleado106,Empleado12355,1.0
Empleado1060,Empleado4105,1.0
Empleado10600,Empleado3625,1.0
Empleado10601,Empleado11932,1.0
Empleado10602,Empleado7886,1.0
Empleado10603,Empleado5522,1.0
Empleado10604,Empleado3742,1.0
Empleado10605,Empleado10130,1.0
Empleado10606,Empleado11970,1.0
Empleado10607,Empleado2039,1.0
Empleado10608,Empleado4668,1.0
Empleado10609,Empleado11435,1.0
Empleado1061,Empleado6711,1.0
Empleado10610,Empleado6751,1.0
Empleado10611,Empleado8302,1.0
Empleado10612,Empleado9565,1.0
Empleado10613,Empleado3252,1.0
Empleado10614,Empleado5896,1.0
Empleado10615,Empleado9464,1.0
Empleado10616,Empleado2761,1.0
Empleado10617,Empleado10989,1.0
Empleado10618,Empleado3336,1.0
Empleado10619,Empleado8457,1.0
Empleado1062,Empleado14661,1.0
Empleado10620,Empleado7190,1.0
Empleado10621,Empleado5384,1.0
Empleado10622,Empleado1693,1.0
Empleado10623,Empleado1451,1.0
Empleado10624,Empleado2718,1.0
Empleado10625,Empleado12986,1.0
Empleado10626,Empleado7314,1.0
Empleado10627,Empleado5400,1.0
Empleado10628,Empleado11837,1.0
Empleado10629,Empleado5948,1.0
Empleado10630,Empleado11586,1.0
Empleado10631,Empleado12244,1.0
Empleado10632,Empleado3009,1.0
Empleado10633,Empleado4367,1.0
Empleado10634,Empleado4913,1.0
Empleado10635,Empleado7871,1.0
Empleado10636,Empleado6798,1.0
Empleado10637,Empleado3730,1.0
